               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.048107,            0.028584,                   0,             0.52362,                 0.5,             0.47471,             0.16667,            0.058049,            0.047913,                   0,           0.0047671,           0.0047671,           0.0047671
                  39,            0.053401,            0.035919,                   0,             0.66826,             0.46154,             0.53085,             0.25136,            0.054907,            0.047821,                   0,           0.0046257,           0.0046257,           0.0046257
                  40,            0.046834,            0.040331,                   0,             0.66826,             0.46154,             0.53085,             0.25136,            0.054907,            0.047821,                   0,           0.0044843,           0.0044843,           0.0044843
                  41,            0.043468,            0.040712,                   0,             0.72241,             0.59615,             0.62748,             0.28979,            0.053033,            0.047951,                   0,           0.0043429,           0.0043429,           0.0043429
                  42,            0.045261,            0.034173,                   0,              0.6269,             0.59615,             0.52484,             0.20851,            0.056273,            0.046844,                   0,           0.0042014,           0.0042014,           0.0042014
                  43,            0.048711,            0.029372,                   0,               0.679,              0.5696,             0.54808,             0.25605,            0.053816,            0.047371,                   0,             0.00406,             0.00406,             0.00406
                  44,              0.0466,            0.029808,                   0,               0.679,              0.5696,             0.54808,             0.25605,            0.053816,            0.047371,                   0,           0.0039186,           0.0039186,           0.0039186
                  45,            0.043513,            0.034311,                   0,             0.72111,             0.59615,             0.59615,             0.29688,             0.05147,            0.047791,                   0,           0.0037771,           0.0037771,           0.0037771
                  46,            0.045732,            0.032354,                   0,              0.6631,             0.51923,             0.49306,             0.20076,            0.056496,            0.047295,                   0,           0.0036357,           0.0036357,           0.0036357
                  47,            0.049698,            0.030914,                   0,             0.77281,             0.55769,             0.60291,             0.27859,            0.053601,            0.047829,                   0,           0.0034943,           0.0034943,           0.0034943
                  48,            0.043099,            0.036855,                   0,             0.77281,             0.55769,             0.60291,             0.27859,            0.053601,            0.047829,                   0,           0.0033529,           0.0033529,           0.0033529
                  49,            0.040043,             0.03152,                   0,             0.77586,             0.57692,             0.62036,             0.28756,            0.051959,            0.048805,                   0,           0.0032114,           0.0032114,           0.0032114
                  50,            0.042448,            0.035844,                   0,             0.71013,             0.56545,             0.56947,             0.25591,            0.053447,            0.048264,                   0,             0.00307,             0.00307,             0.00307
                  51,            0.042553,             0.03187,                   0,             0.74924,             0.57692,              0.6173,             0.27486,            0.052281,            0.048378,                   0,           0.0029286,           0.0029286,           0.0029286
                  52,            0.040889,            0.035333,                   0,             0.74924,             0.57692,              0.6173,             0.27486,            0.052281,            0.048378,                   0,           0.0027871,           0.0027871,           0.0027871
                  53,            0.041872,            0.039813,                   0,             0.73965,             0.60107,               0.625,             0.27189,            0.051946,             0.04882,                   0,           0.0026457,           0.0026457,           0.0026457
                  54,            0.045941,             0.04454,                   0,             0.76681,             0.56926,             0.59016,             0.26998,            0.051729,            0.049248,                   0,           0.0025043,           0.0025043,           0.0025043
                  55,            0.040567,            0.037972,                   0,             0.72234,             0.60044,             0.63339,             0.26197,            0.051717,            0.049057,                   0,           0.0023629,           0.0023629,           0.0023629
                  56,            0.038619,            0.030006,                   0,             0.72234,             0.60044,             0.63339,             0.26197,            0.051717,            0.049057,                   0,           0.0022214,           0.0022214,           0.0022214
                  57,            0.042389,             0.04129,                   0,             0.72729,             0.61544,             0.64759,             0.29574,            0.050983,            0.048882,                   0,             0.00208,             0.00208,             0.00208
                  58,            0.036245,            0.028826,                   0,             0.81228,             0.58261,             0.65396,             0.30108,            0.051214,             0.04879,                   0,           0.0019386,           0.0019386,           0.0019386
                  59,            0.040895,            0.042157,                   0,             0.83499,             0.59615,             0.66141,             0.31378,            0.050088,            0.049095,                   0,           0.0017971,           0.0017971,           0.0017971
                  60,            0.039181,            0.031076,                   0,             0.83499,             0.59615,             0.66141,             0.31378,            0.050088,            0.049095,                   0,           0.0016557,           0.0016557,           0.0016557
                  61,            0.034879,            0.029036,                   0,             0.85561,             0.59615,             0.66542,             0.32327,            0.049523,            0.049271,                   0,           0.0015143,           0.0015143,           0.0015143
                  62,            0.035644,             0.03472,                   0,             0.86094,             0.59533,             0.66606,             0.31401,            0.050024,            0.049171,                   0,           0.0013729,           0.0013729,           0.0013729
                  63,            0.036031,            0.031505,                   0,             0.86043,             0.59285,             0.65395,             0.32443,            0.050202,            0.049599,                   0,           0.0012314,           0.0012314,           0.0012314
                  64,            0.035306,            0.031741,                   0,             0.86043,             0.59285,             0.65395,             0.32443,            0.050202,            0.049599,                   0,             0.00109,             0.00109,             0.00109
                  65,            0.036604,             0.03313,                   0,             0.85213,             0.59615,              0.6569,             0.31239,             0.05026,             0.04966,                   0,          0.00094857,          0.00094857,          0.00094857
                  66,            0.037788,            0.043467,                   0,             0.85397,             0.59615,             0.65369,             0.31261,             0.05019,            0.049782,                   0,          0.00080714,          0.00080714,          0.00080714
                  67,            0.036393,            0.027255,                   0,              0.8397,             0.59615,             0.65343,             0.31121,            0.050443,            0.049995,                   0,          0.00066571,          0.00066571,          0.00066571
                  68,            0.034575,            0.031973,                   0,              0.8397,             0.59615,             0.65343,             0.31121,            0.050443,            0.049995,                   0,          0.00052429,          0.00052429,          0.00052429
                  69,             0.03479,             0.03328,                   0,             0.84021,             0.59615,             0.64989,             0.30519,            0.050439,             0.05024,                   0,          0.00038286,          0.00038286,          0.00038286
